LANDMARK NAME,ID,ADDRESS,DATE BUILT,ARCHITECT,LANDMARK DESIGNATION DATE,LATITUDE,LONGITUDE
Main Building at Illinois Institute of Technology,L- 13,3320 S Federal St,1891-93,Patton & Fisher,05/26/2004,41.8336805,-87.62922306
Whistle Stop Inn,L-211,4200 W Irving Park Rd,1889,Architect Unknown,12-05-90,41.95381757,-87.7326763
Shedd Park Fieldhouse,L- 05,3600 W 23rd St,1916-17,William Drummond,02-11-04,41.85016619,-87.71706068
Brooks Building,L- 56,233 W Jackson Blvd,1910,Holabird & Roche,01/14/1997,41.87787644,-87.63477822
Immaculata High School & Convent Buildings,L- 20,640 W Irving Park Rd & 4030 N Marine Dr,1922,Barry Byrne,07/27/1983,41.95512134,-87.6462916
Chicago Theater,L- 69,175 N State St,1921,Rapp and Rapp,01/28/1983,41.88538851,-87.62722322
Auditorium Building,L- 50,430 S Michigan Av,1886-90,Adler & Sullivan,09/15/1976,41.87603942,-87.62516001
227 East Walton Place Apartment Building,L-314,227 East Walton Place,1956,Harry Weese,05-09-12,41.89981429,-87.62077823
New Regal Theater,L-151,1641 E 79th st,1927,John Eberson,06/17/1992,41.75124738,-87.5835097
Engine Company 78,L-231,1052 W Waveland Av,1915,Charles W. Kallal,10-01-03,41.94930082,-87.65656809
King-Nash House,L-129,3234 W Washington Blvd,1901,George W. Maher,02-10-88,41.88305494,-87.70759499
(Former) Swedish American State Bank Bldg,L-264,5400 N Clark St,,,07-09-08,41.97997886,-87.66855143
Stephen Race House,L-171,3945 N Tripp Av,1874,Architect Unknown,09/22/1988,41.95310186,-87.73367075
Pate-Comiskey House,L-162,5131 S Michigan Av,1901,George Maher,10-01-03,41.80101655,-87.62214969
Heald Square Monument,L-206,Wacker Dr at Wabash Av,1936-41,"Lorado Taft & Leonrd Crunelle, Sculptors",09/15/1971,41.88700528,-87.62692807
Kaufmann Store and Flats,L-125,2312-14 N Lincoln Av (S Half:1883;North Half:1887),1883,Adler & Sullivan,04/16/1996,41.92386743,-87.64707107
Yale Apartments,L-215,6565 S Yale Av,1892-93,John T. Long,04-09-03,41.77470411,-87.63129622
Carl Schurz High School,L-180,3601 N Milwaukee Av,1910,Dwight H. Perkins,12-07-79,41.9472703,-87.73563931
Gage Group,L- 98,"18,24, and 30 S Michigan Av",1899-1900,"Louis H. Sullivan (18),Holabird & Roche (25 & 30)",09-11-96,41.88132379,-87.62498015
Jewish People's Institute,L- 23,3500 W Douglas Blvd,1927,Klaber & Grunfeld,06/28/2000,41.86325563,-87.71337292
(Former) Fullerton State Bank Bldg,L-262,1425 W Fullerton Av,,,07-09-08,41.92494553,-87.66435202
McGraw-Hill Building,L-144,520 N Michigan Av,1928-29,Thielbar & Fugard,02-07-97,41.89141092,-87.62489269
Site of the Sauganash Hotel/Wigwam,L-188,SE corner of Lake St & Wacker Dr,1831,,11-06-02,41.8853654,-87.63647275
Samuel M. Nickerson House,L-152,40 E Erie St,1883,Burling & Whitehouse,09/28/1977,41.89435058,-87.62653379
Third Unitarian Church Building,L-259,301 N Mayfield Av,1936,"Paul Schweikher, addit in 1956:William Fyfe",02-06-08,41.88587724,-87.77151773
"Garfield Boulevard ""L"" Station and Overpass",L- 99,319 E Garfield Blvd,1892,Myron Church,12-12-01,41.79373533,-87.61830365
(Former) Schlitz BreweryTied-House@958W.69th St.,L-304,958 W. 69th St.,1898,Unknown,07-06-11,41.76900629,-87.64920136
Leiter II Building,L- 25,403 S State St,1891,William LeBaron Jenney,01/14/1997,41.87633704,-87.62718672
Chapin and Gore Building,L- 64,63 E Adams,1904,Richard E. Schmidt and Hugh M.G. Garden,01/21/1982,41.87932732,-87.62561478
Carson Pirie Scott & Company Building,L- 63,1 S State St,1898-99,"Louis H. Sullivan, 1905-6:D.H. Burnham&Co.",11-05-70,41.88140588,-87.62698011
Albert F. Madlener House,L-136,4 W Burton Pl,1902,Richard E. Schmidt & Hugh M.G. Garden,03/22/1973,41.9096486,-87.62922179
Chicago & Western Indiana  Railroad Bridge,L-243,"Calumet River, 126th St, W of Torrence Av",1967-68,James Peterson,12-12-07,41.66934061,-87.55896435
Belle Shore Apartment Hotel,L- 55,1062 W Bryn Mawr Av,1928-29,Nathaniel Koenigsberg & Leon Weisfeld,11-06-02,41.98385069,-87.65762447
Site of the Origin of the Chicago Fire of 1871,L-187,Dekoven (1050s) & Jefferson (600w) St,1871,"comm sculpture,""Pillar of Fire"" Egon Weiner 1961",09/15/1971,41.86927206,-87.64199072
Emil Bach House,L- 51,7415 N Sheridan Road,1915,Frank Lloyd Wright,09/28/1977,42.01658291,-87.6647753
Field Building,L- 91,135 S LaSalle St,1924-34,"Graham, Anderson, Probst & White",02-09-94,41.87976425,-87.63154777
Rookery Building,L-156,209 S LaSalle St,1885-88,Burnham & Root,07-05-72,41.87907613,-87.63179743
Pulaski Park Fieldhouse,L-168,1419 W Blackhawk St,1912-14,William Carbys Zimmerman,07/29/2003,41.90648537,-87.66328365
"Engine Company 45, Truck 15",L-233,4600 S Cottage Grove Av,1928,Argyle E. Robinson,10-01-03,41.81118499,-87.6070024
London Guarantee Building,L-134,360 N Michigan Av,1922-23,Alfred S. Alschuler,04/16/1996,41.88795571,-87.62505786
McGill House,L- 28,4938 S Drexel Blvd,1891,Henry Ives Cobb,04/26/2006,41.80486126,-87.60479119
Ludington Building,L-135,1104 S Wabash Av,1891,William LeBaron Jenney,06-10-96,41.86900585,-87.62635497
(Former) Schlitz BreweryTied-House@3456SWestern,L-307,3456 S. Western Ave.,1899,Kley & Lang,07-06-11,41.83042248,-87.68544494
Second Presbyterian Church,L-182,1928-1936 S Michigan Av,1874,James Renwick Recon:1900;Howard Van Doren Shaw,09/28/1977,41.85572488,-87.62435931
(Former) Schlitz Brewery-Tied House,L-300,5120 N. Broadway,1904,Charles Thisslew,05-04-11,41.97522511,-87.66025837
Lorado Taft's Midway Studios,L-192,6016 S Ingleside Dr,1890-1929,"Arch ?, recon:1929;O F Johnson Add:1964;E D Dart",12-01-93,41.78552641,-87.6032052
(Former) Sheridan Trust and Savings Bank Building,L-271,4753 N Broadway,1924-28,"Marshall & Fox, Huszagh & Hill",10-08-08,41.96862254,-87.65913012
"Pennsylvania ""Eight Track"" Bridge",L-246,"San & Ship Canal, S of 31st & W of Western Av",,,12-12-07,41.83707881,-87.68759544
Uptown Theater,L-202,4816 N Broadway,1925,Rapp & Rapp,10-02-91,41.96952571,-87.66019567
"Eighth Church of Christ, Scientist",L- 87,4359 S Michigan Av,1911,Leon E. Stanhope,06-09-93,41.81498777,-87.62250788
Chicago Harbor Lighthouse,L- 19,"S End of the North Breakwater,N side of Harbor Ent",1893,Unknown,04-09-03,41.88927337,-87.59040947
Chess Records Office and Studio,L- 66,2120 S Michigan Av,1911,Horatio Wilson,05/16/1990,41.85360644,-87.6242199
Isidore H. Heller House,L-111,5132 S Woodlawn Av,1897,Frank Lloyd Wright,09/15/1971,41.80140832,-87.5971117
St Ignatius College Prep Building,L-221,1076 W Roosevelt Rd,1869,Toussaint Menard west add:1874;John P. Huber,03/18/1987,41.86741856,-87.65412204
Gauler Twin House,L-101,5921 N Magnolia Av,1908,Walter Burley Griffin,06/28/2000,41.98970697,-87.66119344
Museum of Science and Industry,L- 27,57th St and Lake Shore Dr,1891-93,Charles B. Atwood,11-01-95,41.79054723,-87.58287466
Village Theatre,L-276,1546-1550 N Clark St,,,,41.91084528,-87.63208883
Stephen A. Douglas Memorial,L- 84,35th St and Cottage Grove Av,1881,Leonard W. Volk,09/28/1977,41.83162805,-87.60840332
Site of the 1st Self-Sustain Cont. Nuclear Chain,L-184,East Side of S Ellis Ave between 56th & 57th St,1942,"Commern. sculpture,""Nuclear Energy"" Henry Moore",10/27/1971,41.79216212,-87.6008699
Fisher Building,L- 94,343 S Dearborn St,1896,D.H. Burnham & Co. 1907:side add. Peter Weber,06-07-78,41.87719864,-87.62899138
(Former) South Side Trust Bank Bldg,L-263,4659 S Cottage Grove Av,,,07-09-08,41.80976635,-87.60611328
Robert Lindblom Technical High Schoool building,L-296,6130 S. Wolcott Ave,1917-1919,Arthur F. Hussander,06-09-10,41.78209706,-87.67216458
Reliance Building,L-175,32 N State St,1890,base:Burham & Root Upper Stor: D.H. Burnham and Co,07-11-75,41.88302856,-87.62824151
Dr. Philip Weintraub House,L-283,3252 W. Victoria St,,Andrew N. Rebori,09-03-09,41.98593715,-87.7110509
Charles D. Iglehart House,L-117,11118 S Artesian Av,1857,Architect Unknown,07/13/1994,41.69118327,-87.68276849
Engine Company 61,L-232,5349 S Wabash Av,1927-28,Charles W. Kallal,10-01-03,41.79669781,-87.62366078
Pilgrim Baptist Church,L-166,3301 S Indiana Av,1890-91,Adler & Sullivan,12/18/1981,41.83446443,-87.62148251
Kenwood United Church of Christ,L-311,4600-4608 South Greenwood Avenue,1930,"William W. Boyington, Henry B. Wheelock,Chatten",10-05-11,41.81116725,-87.59978107
West Town State Bank Building,L-209,2400 W Madison St,1929-30,Mundie & Jensen,10-01-03,41.88143107,-87.68673538
Navy Pier (Headhouse and East End Building),L-150,Grand Av and Streeter Dr at Lake Michigan,1916,Charles Summer Frost,11/14/1977,41.89173526,-87.60469642
Carl Sandburg House,L- 34,4646 N Hermitage Av,1886,Unknown,10-04-06,41.96657208,-87.67298946
63rd Street Bathing Pavilion,L-222,South Lake Shore Dr and 63rd St,1919,South Park Commission Architects,12-08-04,41.78144144,-87.57371255
Bryan Lathrop House,L- 31,120 E Bellevue Pl,1892,"McKim, Meade & White",05-09-73,41.90187971,-87.62506376
Fisher Studio Houses,L- 80,1209 N State Pkwy,1936,Andrew Rebori & Edgar Miller,07/31/1996,41.90427607,-87.6282942
(Former) Marshfield Trust and Savings Bank Bldg,L-272,3321 N Lincoln Av,,,,41.9421918,-87.67016345
Chicago City  Bank & Trust Co,L-268,815-815 W 63RD ST,1920,,,41.77939885,-87.64552885
Courthouse Place,L- 77,54 W Hubbard St,1893,Otto H. Matz,06-09-93,41.89027098,-87.63013194
Drake Fountain,L- 06,92nd St @ South Chicago & Exchange Ave,1892,Richard Henry Park,03-10-04,41.7280941,-87.55275866
Marquette Building,L-140,140 S Dearborn St,1895,Holabird and Roche,06-09-75,41.87978697,-87.62974012
Powhatan Apartments,L- 24,4950 S Chicago Beach Dr,1927-29,Robert DeGolyer & Charles Morgan,01-12-93,41.8046084,-87.58447185
Chicago Motor Club Building,L-315,69 E. Wacker Place,1928,Holabird & Root,05-09-12,41.88703479,-87.62542509
Metropolitan Apostolic Community Church Building,L- 39,4100 S Dr Martin Luther King Jr Dr,1890,John Turner Long.1913 mn sanc alt Charles S Frost,07/19/2007,41.81999824,-87.6175253
Delaware Building,L- 95,36 W Randolph St,1872-74,"Wheelock & Thomas,2 story add + atrium 1889 Huber",11/23/1983,41.88468607,-87.62919338
Truevine Missionary Baptist Church Building,L- 37,6720 S Stewart Av,1892,Holabird and Roche,02-07-07,41.77178451,-87.63525636
First Church of Deliverance,L- 78,4315 S Wabash Av,1939,"Walter T. Bailey,1946 Add. Kocher,Buss & DeKlerk",10-05-94,41.81588261,-87.62415888
Harris and Selwyn Theaters,L-108,180-90 N Dearborn st,1922,C. Howard Crane & H Kenneth Franzheim,03/31/1983,41.88505279,-87.629876
Rockefeller Memorial Chapel,L-178,1156-80 E 59th St,1925-28,Bertram Grosvenor Goodhue Associates,11-03-04,41.78852591,-87.59704431
John Jacob Walser House,L-204,42 N Central Av,1903,Frank Llyod Wright,03/30/1984,41.8815282,-87.7653739
Charles Turzak House,L-199,7059 N Olcott Av,1938-39,Bruce Goff,12-09-92,42.00956308,-87.81325194
Theurer-Wrigley House,L-194,2466 N Lakeview Av,1896,Richard E. Schmidt,08-10-79,41.9275524,-87.63953901
Holy Trinity Orthodox Cathedral and Rectory,L-114,1121 N Leavitt St,1903,Louis H. Sullivan,03/21/1979,41.9019437,-87.68178871
(Former) Schlitz BreweryTied-House@2159 W.Belmont,L-305,2159 W. Belmont Ave.,1903-1904,Charles Thisslew,07-06-11,41.9392502,-87.68303313
South Side Community Art Center,L-190,3831 S Michigan Av,1892-93,Gustav Hallburg remod:1940;Hin Bredendieck&Lerner,06/16/1994,41.82458595,-87.62264066
Humboldt Park Receptory Building and Stable,L-257,3015 W Divison St,,,02-06-08,41.90230679,-87.70333639
Jackson-Thomas House,L-122,7053 N Ridge Blvd,1874,Architect Unknown,10/16/1984,42.01039242,-87.68192948
American School of Correspondence,L- 46,850 E 58th St,1907,Pond & Pond,04/15/1995,41.78975392,-87.60410363
Palmer House Hotel,L- 35,17 E Monroe St,1925-27,Holabird & Roche,12/13/2006,41.88030689,-87.62695422
Site of Haymarket Tragedy,L-186,"Desplaines St(650W), bet Randolph & Lake",1886,,03/25/1992,41.88515607,-87.64420847
"Engine Company 59, Truck 47",L-235,5714 N Ridge Av,1928,Argyle E. Robinson,10-01-03,41.98572406,-87.66403315
Schoenhofen Brewery,L-179,18th St & Canalport (500W),1886,Admin Bldg: Adolph Cudell,07/13/1988,41.85805569,-87.63973188
Wheeler-Kohn House,L-210,2016-20 S Calumet Av,1870,Otis L. Wheelock,02-05-98,41.85491185,-87.61953359
"Abraham Lincoln Monument (""Standing Lincoln"")",L-107,Lincoln Park at Dearborn Parkway,1887,"A Saint-Gaudens,Sculptor & S White,Architect",12-12-01,41.91260406,-87.63025542
"Perkins, Fellows & Hamilton Office and Studio",L-165,814 N Michigan Av,1917,"Perkins, Fellows & Hamilton",12-01-93,41.89723205,-87.62507267
Lorraine Hansberry House,L-291,6140 S. Rhodes Avenue,1909,Albert G. Ferree,02-10-10,41.78273879,-87.6124201
(Former) Cosmopolitan State Bank Building,L-280,801 N Clark St,,,,41.89684722,-87.63082574
Henry Gerber House,L-102,1710 N Crilly Court,1885,Architect Unknown,06-06-01,41.91321333,-87.63603058
Union Stock Yard Gate,L-201,Exchange Av (4150S) at Peoria St (900W),1875,Burnham and Root,02/24/1972,41.81862876,-87.64868075
Kenna Apartments,L-127,2214 E 69th St,1916,Barry Byrne,09-12-90,41.77010031,-87.57079824
Gauler Twin House,L-100,5917 N Magnolia Av,1908,Walter Burley Griffin,06/28/2000,41.9896117,-87.66119005
Henry V. Peters House,L- 09,4731 N Knox Ave,1906,Walter Burley Griffin,05-05-04,41.96721993,-87.74366994
Daley Center,L-456,50 West Washington St,1965,"C.F. Murphy Associates, Sculptor:Pablo Picasso",11-06-02,41.88384712,-87.63018307
Abraham Groesbeck House,L-106,1304 W  Washington Blvd,1869,Otis L. Wheelock,01-12-93,41.88329082,-87.66004766
George Cleveland Hall Branch Library,L-288,4801 S. Michigan Avenue,1931,Charles Hodgdon,02-10-10,41.80711009,-87.62230102
Hazelton-Mikota House,L-110,5453 N Forest Glen Av,1881,Architect Unknown,07/27/2005,41.98103936,-87.75387856
Holden Block,L-301,1027 W. Madison St.,1872,Stephen Vaughn Shipman,05-04-11,41.88140273,-87.65325227
Harriet F. Rees House,L-316,2110 S. Prairie Ave.,1888,Cobb & Frost,03/14/2012,41.85392213,-87.62113488
Ransom R Cable House,L- 38,25 E Erie St,1886,Cobb & Frost,04-11-07,41.89388016,-87.62716599
Mather Tower,L-142,75 E Wacker Dr,1928,Herbert Hugh Riddle,03-07-01,41.88760598,-87.6254272
Site of Fort Dearborn,L-185,at the intersection of Miochigan av & Wacker Dr,1803-37,,09/15/1971,41.88835165,-87.62450977
One North LaSalle Building,L-160,1 N LaSalle St,1929-30,K.M. Vizthum & Co with John Burns,04/16/1996,41.88231361,-87.63200594
Allan Miller House,L-147,7121 S Paxton Av,1915,John S Van Bergan,12-01-93,41.7654723,-87.57101082
Canaan Baptist Church of Christ Building,L- 61,6657-59 S Harvard Av,1904-05,Solon S. Beman,07/26/2006,41.77296259,-87.63278111
Oliver Building,L-158,159 N Dearborn St,1907,Top Addit 1920;Holabird & Roche,05-09-84,41.88493929,-87.62925372
Jessie and William Adams House,L- 42,9326 S Pleasant Av,1901,Frank Lloyd Wright,06/16/1994,41.72399695,-87.67019015
Waller Apartments,L-203,2840-58 W Walnut St,1895,Frank Llyod Wright,03-02-94,41.88563167,-87.69836233
Fine Arts Building,L- 92,410 S Michigan Av,1885,add & remod. 1898 Solon S. Beman,06-07-78,41.87646843,-87.62484617
(Former) Schlitz BreweryTied-House@3159NSouthport,L-306,3159 N. Southport Ave.,1903,Frommann and Jebsen,07-06-11,41.93964771,-87.6634509
Yondorf Block and Hall,L-216,758 W North Av,1887,Frederick Ahlschlager,07/25/2001,41.91119342,-87.64786908
Indian Boundary Park Fieldhouse,L-120,2500 W Lunt Av,1929,Clarence Hatzfeld,05-11-05,42.0088761,-87.69259933
R.R. Donnelley & Sons Co. Calumet Plant,L- 08,350 E Cermak Rd,1912-25,Howard Van Doren Shaw,03/31/2004,41.85368038,-87.61828781
Wendell Phillips High School,L- 22,244 E Pershing Rd,1904,William Bryce Mundie,05-07-03,41.82475145,-87.61980653
Chicago & North Western Railway Powerhouse,L- 16,211 N Clinton St,1909-11,Frost & Granger,01-11-06,41.88618882,-87.64090957
Shoreland Hotel,L-295,5454 South Shore Drive,1925-1926,Meyer Fridstein,09-08-10,41.79618792,-87.58146142
John and Clara Merchant House,L-273,3854 N Kostner Av,,,,41.95148125,-87.73849062
Page Brothers Building,L- 40,177-191 N State St,1872,"John M. Van Osdel,1902 State St facade:Hill",01/28/1983,41.88548876,-87.62758983
Henry B Clarke House,L- 74,1855 S Indiana Av,1836,Unknown,10/14/1970,41.85706685,-87.62187159
Chicago and Alton Bridge,L-244,"S Fork of S Branch, N of Archer & E of Ashland",,,12-12-07,41.83987359,-87.66464137
Blackstone Hotel,L- 18,636 S Michigan Ave,1910,Marshall & Fox,04/29/1998,41.87335142,-87.62477544
Carbide and Carbon Building,L- 62,230 N Michigan Av,1929,"Burnham Brothers, Inc.",05-09-96,41.88652361,-87.62499482
American Book Company,L-284,320 E. Cermak Rd & 2132 S. Calumet Ave,1909,,,41.85322455,-87.61951752
All Saints Church and Rectory,L- 44,4550 N Hermitage Av,1883,John C. Cochrane,12/27/1982,41.96494523,-87.67294862
Old Dearborn Bank Building,L-157,203 N Wabash Av,1928,C.W. & George L. Rapp,06-04-03,41.88605727,-87.62601965
On Leong Merchants Association,L-159,2216 S Wentworth Av,1926-27,Michealsen & Rognstad,12-01-93,41.8523735,-87.63231507
Jewelers  Building,L-123,15-17 S Wabash Av,1881-82,Dankmar Adler with Louis H. Sullivan,12-08-81,41.88161747,-87.62566717
Former Chicago Historical Society Building,L- 96,632 N Dearborn St,1892,Henry Ives Cobb,02/26/1997,41.89349504,-87.63006344
Dr. Wallace C. Abbott House,L- 17,4605 N Hermitage Ave,1891,Dahlgren & Lievendahl - rear addit 1906 - unknown,03-01-06,41.96542987,-87.6720606
Lake-Franklin Group,L-131,227-35 W Lake St & 173-91 N Franklin St,1872-75,"Burling & Adler, George Edbrooke. Addit 1896:Adler",02/26/1977,41.88536889,-87.63510253
Heyworth Building,L-112,29 E Madison st,1904,D.H. Burnham & Co.,09/27/2000,41.88185956,-87.62668738
Thalia Hall,L-193,1215-25 W 18th St,1892,Faber & Pagels,10/25/1989,41.85771018,-87.65729386
Palmolive Building,L-161,919 N Michigan Av,1927-29,Holabird & Root,02/16/2000,41.89977946,-87.62350152
St Charles Air Line Bridge,L-241,"S B Chgo River, N of 16th St & E of Lumber St",,,12-12-07,41.86092399,-87.63453042
LaSalle Street Cable Car Powerhouse,L-133,500 N LaSalle St,1887,North Chicago Street Railroad Co.,06/27/2001,41.89103913,-87.63296226
Quinn Chapel,L-169,2401 S Wabash Av,1892,Henry F. Starbuck,08/31/1977,41.84907304,-87.62507641
North Chicago Hospital Building,L-277,2551 N Clark Street,,,,41.92947136,-87.64201185
Peoples Gas-South Chicago Neighborhood Store,L-164,8935 S Commercial Av,1925,George Grant Elmslie & Herman V. von Holst,04/16/1996,41.73264845,-87.55092055
(Former) Schlitz BreweryTied-House@1944 N.Oakley,L-310,1944 N. Oakley Ave.,1898,Kley  & Lang,10-05-11,41.91748424,-87.6852557
Getty Tomb,L-103,"Graceland Cemetery, 4011 N Clark St",1890,Louis H. Sullivan,03-10-71,41.96123007,-87.66118862
"Engine Company 129, Truck 50",L-236,8120 S Ashland Av,1928-29,Argyle E. Robinson,10-01-03,41.74600513,-87.66370577
James Charnley House,L- 65,1365 N Astor st,1891,"Adler and Sullivan, Frank Lloyd Wright",08/20/1972,41.90764802,-87.62747782
Beeson House and Coach House,L-224,5810 W Midway Park,1892,Frederick Schock,01/20/1999,41.88931789,-87.77060811
